Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors,Origen
PR,0.1,0:31:22,0.8763,0.8772,0.8763,0.8747,100,0.1,0.373,0.3214,0.3056,finales_2
PR,0.25,1:05:04,0.8737,0.876,0.8737,0.8696,100,0.25,0.3524,0.346,0.3016,finales_2
PR,0.5,2:02:02,0.8253,0.8362,0.8253,0.8206,100,0.5,0.3349,0.3341,0.331,finales_2
PR,0.75,2:55:17,0.8414,0.8476,0.8414,0.8373,100,0.75,0.3296,0.336,0.3344,finales_2
PR,0.1,0:30:06,0.8226,0.8239,0.8226,0.8174,100,0.1,0.3571,0.2778,0.3651,finales_2
PR,0.25,1:02:29,0.8145,0.8328,0.8145,0.8092,100,0.25,0.3286,0.3444,0.327,finales_2
PR,0.5,1:56:38,0.8091,0.8284,0.8091,0.8004,100,0.5,0.3429,0.3333,0.3238,finales_2
PR,0.75,2:50:03,0.8199,0.8423,0.8199,0.8111,100,0.75,0.3328,0.337,0.3302,finales_2
PR,0.1,0:29:29,0.8306,0.8287,0.8306,0.829,100,0.1,0.3571,0.3294,0.3135,finales_2
PR,0.25,1:01:17,0.8118,0.8281,0.8118,0.8028,100,0.25,0.3111,0.3556,0.3333,finales_2
PR,0.5,1:55:41,0.8038,0.8237,0.8038,0.7954,100,0.5,0.3286,0.3341,0.3373,finales_2
PR,0.75,2:33:16,0.8199,0.841,0.8199,0.8152,100,0.75,0.3317,0.337,0.3312,finales_2
MEM,0.1,0:23:57,0.8145,0.813,0.8145,0.8096,100,0.1,0.369,0.3095,0.3214,finales_2
MEM,0.25,0:50:00,0.8414,0.8486,0.8414,0.8354,100,0.25,0.327,0.3048,0.3683,finales_2
MEM,0.5,1:33:02,0.8065,0.8307,0.8065,0.8022,100,0.5,0.3262,0.3357,0.3381,finales_2
MEM,0.75,2:16:15,0.8253,0.842,0.8253,0.8165,100,0.75,0.3339,0.3376,0.3286,finales_2
MEM,0.1,0:29:51,0.8011,0.8507,0.8011,0.7776,100,0.1,0.3571,0.2976,0.3452,finales_2
MEM,0.25,1:01:25,0.8038,0.8215,0.8038,0.795,100,0.25,0.3111,0.3413,0.3476,finales_2
MEM,0.5,1:55:18,0.8172,0.8307,0.8172,0.813,100,0.5,0.3484,0.3246,0.327,finales_2
MEM,0.75,2:47:37,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307,finales_2
MEM,0.1,0:30:42,0.9032,0.9048,0.9032,0.9011,100,0.1,0.3651,0.3214,0.3135,finales_2
MEM,0.25,1:02:41,0.8333,0.8437,0.8333,0.8246,100,0.25,0.3286,0.3683,0.3032,finales_2
MEM,0.5,1:58:26,0.8226,0.8377,0.8226,0.8141,100,0.5,0.3317,0.3262,0.3421,finales_2
MEM,0.75,2:53:14,0.8306,0.84,0.8306,0.8253,100,0.75,0.3376,0.3222,0.3402,finales_2
MEM,0.1,0:30:03,0.8011,0.8171,0.8011,0.7891,100,0.1,0.3413,0.3016,0.3571,finales_2
MEM,0.25,1:01:45,0.8118,0.82,0.8118,0.8052,100,0.25,0.3302,0.3032,0.3667,finales_2
MEM,0.5,1:55:46,0.8145,0.836,0.8145,0.8079,100,0.5,0.3484,0.3175,0.3341,finales_2
MEM,0.75,2:48:23,0.828,0.8478,0.828,0.8229,100,0.75,0.3392,0.328,0.3328,finales_2
MEM,0.1,0:24:04,0.8226,0.8364,0.8226,0.8182,100,0.1,0.3571,0.3175,0.3254,finales_2
MEM,0.25,0:50:07,0.8091,0.8219,0.8091,0.8005,100,0.25,0.2921,0.3587,0.3492,finales_2
MEM,0.5,1:35:09,0.8145,0.8329,0.8145,0.8075,100,0.5,0.3421,0.3111,0.3468,finales_2
MEM,0.75,2:23:05,0.8226,0.8391,0.8226,0.8166,100,0.75,0.3376,0.3312,0.3312,finales_2
